Date,i,pi,UNRATE,YLVL,SPREAD,r_real,y_log,x_gap_proxy,x_gap_est,rn_est
2012-02-01,0.1,2.856975448285848,8.3,17367.01,1.9,-2.7569754482858477,9.762327708551636,0.03793755397207477,-2.0672919017173355,-2.0053717886525835
2012-03-01,0.09,2.55008252286002,8.3,17367.01,2.16,-2.46008252286002,9.762327708551636,0.03741786145190851,-2.0657177820848402,-1.9555491043502102
2012-04-01,0.16,2.2477119945619073,8.2,17444.525,1.8499999999999999,-2.087711994561907,9.766781124817959,0.041305449640958614,-2.021011808405785,-1.9044803467981772
2012-05-01,0.16,1.7230134384217166,8.2,17444.525,1.52,-1.5630134384217167,9.766781124817959,0.04075471031241129,-2.025152828513574,-1.8544800027138582
2012-06-01,0.09,1.6403429586643092,8.2,17444.525,1.5799999999999998,-1.5503429586643092,9.766781124817959,0.04021846412409147,-2.035139366445485,-1.81010022783322
2012-07-01,0.13,1.407558729848013,8.2,17469.65,1.4,-1.277558729848013,9.76822036858282,0.04111669869558909,-2.0317841596901474,-1.77070330203432
2012-08-01,0.13,1.67188077526923,8.2,17469.65,1.48,-1.54188077526923,9.76822036858282,0.040589561532826224,-2.037305718339476,-1.7382772365595294
2012-09-01,0.09,1.9309534160266928,8.2,17469.65,1.5499999999999998,-1.8409534160266927,9.76822036858282,0.040075769614688284,-2.0344624725429856,-1.709301344582197
2012-10-01,0.18,2.1327719237691944,8.2,17489.852,1.6099999999999999,-1.9527719237691945,9.769376105998571,0.04071611319255908,-2.026087274056804,-1.6799568936279279
2012-11-01,0.16,1.7800818183119738,8.2,17489.852,1.54,-1.6200818183119738,9.769376105998571,0.04021344512845282,-2.025200454961984,-1.6482573947006682
2012-12-01,0.09,1.74420490055045,8.2,17489.852,1.73,-1.65420490055045,9.769376105998571,0.03972303726103199,-2.031809533348904,-1.6170362785550298
2013-01-01,0.15,1.6700386614722618,8.2,17662.4,1.95,-1.5200386614722619,9.779193365264087,0.04894342548405817,-2.027680243856772,-1.5854004802856667
2013-02-01,0.14,1.9980459426809816,8.2,17662.4,1.7799999999999998,-1.8580459426809814,9.779193365264087,0.04836076565686831,-2.0319031361171143,-1.5539888188995588
2013-03-01,0.09,1.5073297321459123,8.2,17662.4,1.8,-1.4173297321459122,9.779193365264087,0.047791815472669086,-2.0258772067602475,-1.5185378357905415
2013-04-01,0.14,1.1323724421044012,8.2,17709.671,1.65,-0.9923724421044012,9.781866153529224,0.049877806019924975,-2.0291061180576078,-1.4830044788085495
2013-05-01,0.09,1.3808115942114618,8.2,17709.671,2.12,-1.2908115942114617,9.781866153529224,0.04930449790475322,-2.039126156603646,-1.451141250092941
